Column 1,year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,2008,Spartan,Ave,£/kg,,,,,,,,,,0.59,0.54,0.60
,2008,Worcester Pearmain,1st,£/kg,,,,,,,,,0.69,0.63,,
,2008,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.50,0.43,,
,2008,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.67,0.52,,
,2008,Red Pippin,1st,£/kg,,,,,,,,,0.61,0.48,0.49,
,2008,Red Pippin,2nd,£/kg,,,,,,,,,,0.34,,
,2008,Red Pippin,Ave,£/kg,,,,,,,,,,0.47,,
,2008,Gala,1st,£/kg,0.54,0.57,0.62,0.54,,,,,0.64,0.59,0.54,0.64
,2008,Gala,2nd,£/kg,0.40,0.55,0.43,0.44,,,,,,,0.42,0.43
,2008,Gala,Ave,£/kg,0.51,0.57,0.55,0.49,,,,,,,0.53,0.59
,2008,Other Early Season,-,£/kg,,,,,,,,0.60,0.55,0.50,,
,2008,Other Mid Season,-,£/kg,0.58,0.62,0.61,,,,,,0.67,0.50,0.42,0.57
,2008,Other Late Season,-,£/kg,0.54,0.55,0.56,0.53,0.55,0.44,,,,0.60,0.58,0.60
,2008,Jonogold – group,1st,£/kg,0.42,0.48,0.59,0.51,,,,,,0.62,0.56,0.52
,2008,Jonogold – group,2nd,£/kg,0.39,,,,,,,,,0.33,0.33,0.35
,2008,Jonogold – group,Ave,£/kg,0.41,,,,,,,,,0.60,0.47,0.41
,(new ,Red,2nd,£/kg,0.32,0.22,0.28,0.35,0.31,,,,0.36,0.28,0.21,0.22
,(new ,Red,Ave,£/kg,0.38,0.36,0.29,0.36,0.40,,,,0.40,0.30,0.30,0.32
Cooking Apples,2009,Bramley’s Seedling,1st,£/kg,0.70,0.67,0.65,0.66,0.71,0.65,0.67,0.63,0.58,0.57,0.56,0.55
,2009,Bramley’s Seedling,2nd,£/kg,0.47,0.46,0.42,0.44,0.44,0.42,0.42,0.43,0.43,0.40,0.39,0.38
,2009,Bramley’s Seedling,Ave,£/kg,0.64,0.62,0.59,0.60,0.64,0.57,0.60,0.59,0.56,0.54,0.53,0.53
Dessert Apples,2009,Cox’s Orange-group,1st,£/kg,0.73,0.83,0.82,0.85,0.64,,,0.91,0.74,0.60,0.59,0.61
,2009,Cox’s Orange-group,2nd,£/kg,0.48,0.53,0.56,0.51,,,,,0.56,0.41,0.36,0.39
,2009,Cox’s Orange-group,Ave,£/kg,0.68,0.77,0.77,0.81,,,,,0.72,0.55,0.53,0.56
,2009,Discovery,1st,£/kg,,,,,,,0.86,0.61,0.53,,,
,2009,Discovery,2nd,£/kg,,,,,,,,0.38,0.42,,,
,2009,Discovery,Ave,£/kg,,,,,,,,0.56,0.51,,,
,2009,Egremont Russet,1st,£/kg,0.77,0.75,0.86,0.78,,,,1.01,0.78,0.64,0.70,0.73
,2009,Egremont Russet,2nd,£/kg,0.53,0.57,0.61,0.63,,,,,0.54,0.45,0.51,0.50
,2009,Egremont Russet,Ave,£/kg,0.73,0.73,0.83,0.74,,,,,0.76,0.61,0.68,0.71
,2009,Spartan,1st,£/kg,,,,,,,,,0.66,0.56,0.53,
,2009,Spartan,2nd,£/kg,,,,,,,,,,0.46,0.48,
,2009,Spartan,Ave,£/kg,,,,,,,,,,0.55,0.53,
,2009,Worcester Pearmain,1st,£/kg,,,,,,,,0.57,0.50,,,
,2009,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.40,0.37,,
,2009,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.50,0.37,,
,2009,Red Pippin,1st,£/kg,,,,,,,,,0.53,,,
,2009,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,2009,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,2009,Gala,1st,£/kg,0.69,0.88,0.76,0.91,0.50,,,,0.62,0.61,0.58,0.52
,2009,Gala,2nd,£/kg,0.45,0.55,,,,,,,,0.48,0.46,0.38
,2009,Gala,Ave,£/kg,0.63,0.84,,,,,,,,0.59,0.57,0.50
,2009,Other Early Season,-,£/kg,,,,,,,,0.59,0.53,0.48,0.44,
,2009,Other Mid Season,-,£/kg,,,,,,,,,0.51,0.50,0.51,0.54
,2009,Other Late Season,-,£/kg,0.64,0.67,0.61,0.59,0.56,,,,,0.51,0.50,0.55
,2009,Jonogold – group,1st,£/kg,,0.60,0.66,0.62,0.58,,,,,0.59,0.48,0.42
,2009,Jonogold – group,2nd,£/kg,,,,,,,,,,0.46,0.46,
,2009,Jonogold – group,Ave,£/kg,,,,,,,,,,0.57,0.47,0.42
,(new ,Red,2nd,£/kg,0.24,0.26,0.28,0.26,0.29,0.26,0.18,0.34,0.35,,,
,(new ,Red,Ave,£/kg,0.33,0.34,0.35,0.33,0.34,0.35,0.34,0.39,0.37,0.32,0.31,0.33
Cooking Apples,2010,Bramley’s Seedling,1st,£/kg,0.59,0.58,0.65,0.66,0.63,0.62,0.62,0.68,0.65,0.59,0.62,0.64
,2010,Bramley’s Seedling,2nd,£/kg,0.36,0.39,0.40,0.41,0.42,0.46,0.44,0.49,0.47,0.43,0.41,0.44
,2010,Bramley’s Seedling,Ave,£/kg,0.56,0.53,0.60,0.62,0.59,0.58,0.54,0.62,0.61,0.56,0.57,0.61
Dessert Apples,2010,Cox’s Orange-group,1st,£/kg,0.70,0.79,0.88,0.80,,,,,0.87,0.63,0.67,0.72
,2010,Cox’s Orange-group,2nd,£/kg,0.41,0.48,0.51,0.48,,,,,0.55,0.45,0.45,0.46
,2010,Cox’s Orange-group,Ave,£/kg,0.63,0.71,0.84,0.75,,,,,0.87,0.62,0.64,0.69
,2010,Discovery,1st,£/kg,,,,,,,,0.72,0.53,,,
,2010,Discovery,2nd,£/kg,,,,,,,,0.49,0.33,,,
,2010,Discovery,Ave,£/kg,,,,,,,,0.70,0.50,,,
,2010,Egremont Russet,1st,£/kg,0.67,0.71,0.79,0.72,0.62,,,,0.85,0.74,0.74,0.74
,2010,Egremont Russet,2nd,£/kg,0.49,0.45,0.47,0.42,,,,,,0.66,0.56,0.52
,2010,Egremont Russet,Ave,£/kg,0.66,0.68,0.77,0.72,0.62,,,,0.85,0.74,0.74,0.73
,2010,Spartan,1st,£/kg,,,,,,,,,,0.62,0.63,0.58
,2010,Spartan,2nd,£/kg,,,,,,,,,,,0.55,
,2010,Spartan,Ave,£/kg,,,,,,,,,,0.62,0.63,0.58
,2010,Worcester Pearmain,1st,£/kg,,,,,,,,,0.56,0.47,0.43,
,2010,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.22,,,
,2010,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.52,0.47,0.43,
,2010,Red Pippin,1st,£/kg,,,,,,,,,0.62,0.49,,
,2010,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,2010,Red Pippin,Ave,£/kg,,,,,,,,,0.62,0.49,,
,2010,Gala,1st,£/kg,0.55,0.67,0.71,0.62,0.57,0.56,,,0.77,0.62,0.60,0.64
,2010,Gala,2nd,£/kg,0.37,0.47,0.43,0.39,0.37,0.37,,,,0.44,,0.50
,2010,Gala,Ave,£/kg,0.52,0.65,0.65,0.53,0.50,0.45,,,0.77,0.62,0.60,0.64
,2010,Other Early Season,-,£/kg,,,,,,,,0.61,0.63,0.61,,
,2010,Other Mid Season,-,£/kg,0.51,0.57,0.61,,,,,,,0.56,0.58,0.65
,2010,Other Late Season,-,£/kg,0.54,0.59,0.65,0.58,0.54,0.52,,,,0.77,0.66,0.65
,2010,Jonogold – group,1st,£/kg,0.43,0.56,0.61,0.55,0.58,0.42,,,,0.56,0.50,0.49
,2010,Jonogold – group,2nd,£/kg,0.34,,,,,,,,,,,
,2010,Jonogold – group,Ave,£/kg,0.42,0.56,0.61,0.55,0.58,0.42,,,,0.56,0.50,0.49
Cooking Apples,2011,Bramley’s Seedling,1st,£/kg,0.61,0.62,0.64,0.64,0.66,0.68,0.73,0.67,0.61,0.61,0.64,0.63
,2011,Bramley’s Seedling,2nd,£/kg,0.44,0.46,0.44,0.45,0.48,0.46,0.47,0.49,0.44,0.44,0.42,0.42
,2011,Bramley’s Seedling,Ave,£/kg,0.59,0.60,0.62,0.61,0.64,0.63,0.66,0.65,0.58,0.58,0.59,0.57
Dessert Apples,2011,Cox’s Orange-group,1st,£/kg,0.76,0.93,1.00,1.03,,,,1.09,0.76,0.67,0.66,0.72
,2011,Cox’s Orange-group,2nd,£/kg,0.46,0.56,0.55,0.78,,,,,0.51,0.47,0.43,0.43
,2011,Cox’s Orange-group,Ave,£/kg,0.71,0.89,0.93,1.01,,,,1.09,0.72,0.65,0.62,0.67
,2011,Discovery,1st,£/kg,,,,,,,0.89,0.61,,,,
,2011,Discovery,2nd,£/kg,,,,,,,0.54,0.47,0.44,,,
,2011,Discovery,Ave,£/kg,,,,,,,0.87,0.60,0.44,,,
,2011,Egremont Russet,1st,£/kg,0.69,0.80,0.81,1.01,,,,,0.76,0.74,0.74,0.69
,2011,Egremont Russet,2nd,£/kg,0.47,0.45,0.44,,,,,,0.53,0.51,0.43,0.46
,2011,Egremont Russet,Ave,£/kg,0.68,0.78,0.80,1.01,,,,,0.75,0.73,0.72,0.68
,2011,Spartan,1st,£/kg,0.66,,,,,,,,0.77,0.92,0.53,0.58
,2011,Spartan,2nd,£/kg,,,,,,,,,,0.55,0.55,0.44
